redhat jgroups	Product redhat jgroups
cisco cloud_connect	Product cisco cloud_connect
cisco broadworks	Product cisco broadworks
cisco firepower_threat_defense	Product cisco firepower_threat_defense
cisco dna_spaces_connector	Product cisco dna_spaces_connector
cisco unified_communications_manager_im_\\&_presence_service	Product cisco unified_communications_manager_im_\\&_presence_service
cisco unified_contact_center_management_portal	Product cisco unified_contact_center_management_portal
cisco unified_computing_system	Product cisco unified_computing_system
cisco ucs_central_software	Product cisco ucs_central_software
cisco network_dashboard_fabric_controller	Product cisco network_dashboard_fabric_controller
cisco video_surveillance_manager	Product cisco video_surveillance_manager
cisco cloudcenter_suite	Product cisco cloudcenter_suite
cisco network_insights_for_data_center	Product cisco network_insights_for_data_center
cisco cx_cloud_agent	Product cisco cx_cloud_agent
cisco mobility_services_engine	Product cisco mobility_services_engine
cisco dna_spaces	Product cisco dna_spaces
cisco cyber_vision	Product cisco cyber_vision
cisco connected_analytics_for_network_deployment	Product cisco connected_analytics_for_network_deployment
cisco crosswork_network_automation	Product cisco crosswork_network_automation
snowsoftware vm_access_proxy	Product snowsoftware vm_access_proxy
snowsoftware snow_commander	Product snowsoftware snow_commander
bentley synchro_4d	Product bentley synchro_4d
bentley synchro	Product bentley synchro
percussion rhythmyx	Product percussion rhythmyx
CVE-2021-44228	Apache Log4j2 2.0-beta9 2.15.0 ( excluding security releases 2.12.2 , 2.12.3 , 2.3.1 ) JNDI features used configuration , log messages , parameters protect attacker controlled LDAP JNDI related endpoints . attacker control log messages log message parameters execute arbitrary code loaded LDAP servers message lookup substitution enabled . log4j 2.15.0 , behavior disabled default . version 2.16.0 ( along 2.12.2 , 2.12.3 , 2.3.1 ) , functionality completely removed . Note vulnerability specific log4j-core affect log4net , log4cxx , Apache Logging Services projects .
jenkins credentials_binding	Product jenkins credentials_binding
CVE-2018-1000057	Jenkins Credentials Binding Plugin 1.14 earlier masks passwords provides build processes build logs . Jenkins however transforms provided password values , e.g . replacing environment variable references , could result values different similar configured passwords provided build . values subject masking , could allow unauthorized users recover original password .
mock-server mockserver	Product mock-server mockserver
CVE-2021-32827	MockServer open source software enables easy mocking system integrate via HTTP HTTPS . attacker trick victim visiting malicious site running MockServer locally , able run arbitrary code MockServer machine . overly broad default CORS configuration MockServer allows site send cross-site requests . Additionally , MockServer allows create dynamic expectations using Javascript Velocity templates . engines may allow attacker execute arbitrary code on-behalf MockServer . combining two issues ( Overly broad CORS configuration + Script injection ) , attacker could serve malicious page developer running MockServer visits , get compromised . details including PoC see referenced GHSL-2021-059 .
jenkins harvest_scm	Product jenkins harvest_scm
CVE-2020-2130	Jenkins Harvest SCM Plugin 0.5.1 earlier stores password unencrypted global configuration file Jenkins master viewed users access master file system .
linuxfoundation open_network_operating_system	Product linuxfoundation open_network_operating_system
CVE-2019-1010250	Linux Foundation ONOS 2.0.0 earlier affected : Poor Input-validation . impact : network administrator ( attacker ) install unintended flow rules switch mistake . component : createFlow ( ) createFlows ( ) functions FlowWebResource.java ( RESTful service ) . attack vector : network management connectivity .
jenkins synopsys_detect	Product jenkins synopsys_detect
CVE-2018-1000191	exposure sensitive information vulnerability exists Jenkins Black Duck Detect Plugin 1.4.0 older DetectPostBuildStepDescriptor.java allows attackers Overall/Read access connect attacker-specified URL using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
jenkins delivery_pipeline	Product jenkins delivery_pipeline
CVE-2017-1000404	Jenkins Delivery Pipeline Plugin version 1.0.7 earlier used unescaped content query parameter 'fullscreen ' JavaScript , resulting cross-site scripting vulnerability specially crafted URLs .
oracle banking_digital_experience	Product oracle banking_digital_experience
oracle financial_services_price_creation_and_discovery	Product oracle financial_services_price_creation_and_discovery
oracle financial_services_analytical_applications_infrastructure	Product oracle financial_services_analytical_applications_infrastructure
oracle communications_diameter_signaling_router	Product oracle communications_diameter_signaling_router
oracle financial_services_institutional_performance_analytics	Product oracle financial_services_institutional_performance_analytics
oracle insurance_policy_administration_j2ee	Product oracle insurance_policy_administration_j2ee
oracle financial_services_retail_customer_analytics	Product oracle financial_services_retail_customer_analytics
oracle communications_calendar_server	Product oracle communications_calendar_server
CVE-2020-10969	FasterXML jackson-databind 2.x 2.9.10.4 mishandles interaction serialization gadgets typing , related javax.swing.JEditorPane .
apache myfaces	Product apache myfaces
CVE-2010-2086	Apache MyFaces 1.1.7 1.2.8 , used IBM WebSphere Application Server applications , properly handle unencrypted view state , allows remote attackers conduct cross-site scripting ( XSS ) attacks execute arbitrary Expression Language ( EL ) statements via vectors involve modifying serialized view object .
CVE-2018-1000195	server-side request forgery vulnerability exists Jenkins 2.120 older , LTS 2.107.2 older ZipExtractionInstaller.java allows users Overall/Read permission Jenkins submit HTTP GET request arbitrary URL learn whether response successful ( 200 ) .
CWE-287	Improper Authentication
CVE-2014-2066	Session fixation vulnerability Jenkins 1.551 LTS 1.532.2 allows remote attackers hijack web sessions via vectors involving `` override '' Jenkins cookies .
CWE-59	Improper Link Resolution File Access ( 'Link Following ' )
nodejs node.js	Product nodejs node.js
CVE-2015-8860	tar package 2.0.0 Node.js allows remote attackers write arbitrary files via symlink attack archive .
jenkins build-metrics	Product jenkins build-metrics
CVE-2019-10475	reflected cross-site scripting vulnerability Jenkins build-metrics Plugin allows attackers inject arbitrary HTML JavaScript web pages provided plugin .
postgresql postgresql_jdbc_driver	Product postgresql postgresql_jdbc_driver
CVE-2022-26520	* * DISPUTED * * pgjdbc 42.3.3 , attacker ( controls jdbc URL properties ) call java.util.logging.FileHandler write arbitrary files loggerFile loggerLevel connection properties . example situation attacker could create executable JSP file Tomcat web root . NOTE : vendor 's position pgjdbc vulnerability ; instead , vulnerability application use pgjdbc driver untrusted connection properties .
jquery jquery	Product jquery jquery
CVE-2014-6071	jQuery 1.4.2 allows remote attackers conduct cross-site scripting ( XSS ) attacks via vectors related use text method inside .
CVE-2014-3665	Jenkins 1.587 LTS 1.580.1 properly ensure trust separation master slaves , might allow remote attackers execute arbitrary code master leveraging access slave .
CWE-434	Unrestricted Upload File Dangerous Type
jfinal jfinal	Product jfinal jfinal
CVE-2019-17352	JFinal cos 2019-08-13 , used JFinal 4.4 , vulnerability bypass isSafeFile ( ) function : one upload type file . example , .jsp file may stored almost immediately deleted , deletion step occur certain exceptions .
CWE-203	Observable Discrepancy
apache kafka	Product apache kafka
oracle financial_services_enterprise_case_management	Product oracle financial_services_enterprise_case_management
oracle financial_services_behavior_detection_platform	Product oracle financial_services_behavior_detection_platform
oracle communications_brm_-_elastic_charging_engine	Product oracle communications_brm_-_elastic_charging_engine
CVE-2021-38153	components Apache Kafka use ` Arrays.equals ` validate password key , vulnerable timing attacks make brute force attacks credentials likely successful . Users upgrade 2.8.1 higher , 3.0.0 higher vulnerability fixed . affected versions include Apache Kafka 2.0.0 , 2.0.1 , 2.1.0 , 2.1.1 , 2.2.0 , 2.2.1 , 2.2.2 , 2.3.0 , 2.3.1 , 2.4.0 , 2.4.1 , 2.5.0 , 2.5.1 , 2.6.0 , 2.6.1 , 2.6.2 , 2.7.0 , 2.7.1 , 2.8.0 .
jenkins active_choices	Product jenkins active_choices
CVE-2020-2289	Jenkins Active Choices Plugin 2.4 earlier escape name description build parameters , resulting stored cross-site scripting ( XSS ) vulnerability exploitable attackers Job/Configure permission .
apache hbase	Product apache hbase
CVE-2013-2193	Apache HBase 0.92.x 0.92.3 0.94.x 0.94.9 , Kerberos features enabled , allows man-in-the-middle attackers disable bidirectional authentication obtain sensitive information via unspecified vectors .
CVE-2020-11113	FasterXML jackson-databind 2.x 2.9.10.4 mishandles interaction serialization gadgets typing , related org.apache.openjpa.ee.WASRegistryManagedRuntime ( aka openjpa ) .
oracle communications_cloud_native_core_service_communication_proxy	Product oracle communications_cloud_native_core_service_communication_proxy
CVE-2020-29582	JetBrains Kotlin 1.4.21 , vulnerable Java API used temporary file folder creation . attacker able read data files list directories due insecure permissions .
CVE-2018-1999046	exposure sensitive information vulnerability exists Jenkins 2.137 earlier , 2.121.2 earlier Computer.java allows attackers Overall/Read permission access connection log agent .
oracle documaker	Product oracle documaker
oracle banking_extensibility_workbench	Product oracle banking_extensibility_workbench
CVE-2020-36183	FasterXML jackson-databind 2.x 2.9.10.8 mishandles interaction serialization gadgets typing , related org.docx4j.org.apache.xalan.lib.sql.JNDIConnectionPool .
